FIPS,trump_vs_senate,trump_vs_house
20043,0.889953845,0.040451405
20045,0.596355347,-2.198613363
20047,0.414937316,-3.311221158
20049,3.412583073,-0.55095804
20051,1.854073133,0.706883582
20053,3.252889517,0.904988862
20055,1.014064447,2.231494416
20057,1.612276959,0.902382333
20059,1.837165773,-1.627649
20061,1.928299989,0.574146343
20063,3.494855532,-0.655376346
20065,2.671420589,-1.047478955
20067,1.840973289,1.001806568
20069,1.191821434,2.257904385
20071,3.730469828,0.431368774
20073,3.856454358,-0.472712041
20075,2.557975846,1.475724764
20077,4.140286134,-1.839262388
20079,2.262363634,-3.421991437
20081,2.07028952,0.496098949
20083,2.858646471,2.828675183
20085,3.539745303,3.321254027
20087,2.659232147,1.316496402
20089,2.150455614,0.142117015
20091,-0.124953954,-0.799124575
20093,1.730754397,-0.402326938
20095,3.197534561,-1.036690694
20097,0.475302889,-1.659889978
20099,2.971515778,0.422035658
20101,2.959500058,2.045472468
20103,1.793492182,-1.011642996
20105,2.448490854,0.732899674
20107,3.149529198,0.524613688
20109,2.697491592,0.503932842
20111,2.526732455,-1.199873454
20113,2.415280559,-2.343414835
20115,1.919439436,0.321764465
20117,2.66975557,0.738629664
20119,2.117606385,7.411143805
20121,1.908916879,0.366727949
20123,1.410101297,0.404426245
20125,0.867754947,-0.697625077
20127,4.743043654,0.758757641
20129,1.904887114,1.274433355
20131,2.857712101,2.256532874
20133,3.263900563,-1.109561326
20135,1.767940536,1.782015132
20137,1.277718777,0.420931788
20139,3.483483201,3.206637495
20141,3.537857798,1.554959786
20143,2.561844309,0.847880118
20145,2.25509883,-3.377451013
20147,2.429735953,0.831608679
20149,1.616101465,-2.30945066
20151,2.583396809,-0.439310624
20153,1.294345836,0.601409708
20155,2.254333419,-0.053438712
20157,0.827732826,-0.863449955
20159,2.771854998,0.66362652
20161,0.596233249,-0.652530706
20163,2.091971325,4.415574817
20165,2.687078448,3.202253973
20167,2.724529615,1.181290488
20169,2.852387034,-2.873247073
20171,1.604254461,0.036495529
20173,1.54793071,-2.917963318
20175,1.679942978,0.214858114
20177,1.751166168,1.028635622
20179,2.174700706,1.610481837
20181,1.545540349,2.61554504
20183,2.0110314,-0.250076048
20185,1.761237755,-1.099636178
20187,-0.344174435,-2.466048468
20189,2.331033564,1.597994673
20191,3.338290476,-0.270762084
20193,2.239588575,-0.531118778
20195,4.119756785,1.604404351
20197,2.547869331,0.338943914
20199,1.292535285,1.639323999
20201,1.660398408,-1.873680796
20203,1.012216006,1.439635028
20205,4.142800096,0.016364252
20207,5.096853098,0.888579204
20209,1.935773764,3.05439428
21001,3.317722995,-2.041575124
21003,3.848372097,-1.750074705
21005,3.138560058,-0.349910876
21007,3.147370065,-0.330207626
21009,3.646681866,-4.855839209
21011,5.763946487,1.79379651
21013,4.696433579,-3.442618141
21015,3.175047351,-1.669205748
21017,2.705588126,-2.949824882
21019,4.876836072,3.055226269
21021,1.888363042,-2.693203787
21023,5.440700231,1.02908189
21025,7.275293876,-2.828569603
21027,5.111149917,-3.754974233
21029,4.211541496,-1.182419334
21031,3.817862124,-4.130840552
21033,4.731922789,-0.466042082
21035,2.949689634,-2.894485118
21037,3.414065463,-1.682824094
